City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Never,FR,46.9896,3.159,67.75,75,99,8.52,overcast clouds
182,Tabas,IR,33.5959,56.9244,107.02,8,0,23.98,clear sky
183,Puerto Ayora,EC,-0.7393,-90.3518,71.55,89,41,5.99,scattered clouds
184,Peniche,PT,39.3558,-9.3811,74.73,81,8,14.5,clear sky
185,Bayji,IQ,34.9311,43.487,115.36,11,0,12.35,clear sky
186,Vrangel,RU,42.7297,133.0839,79.21,84,60,4.68,broken clouds
187,Hovd,MN,48.0056,91.6419,76.32,39,95,8.28,overcast clouds
188,Pacific Grove,US,36.6177,-121.9166,60.91,91,90,1.99,overcast clouds
189,Tura,IN,25.5198,90.2201,83.61,83,100,2.59,overcast clouds
190,Seymchan,RU,62.8833,152.4333,46.08,92,100,8.1,light rain
191,Port Hawkesbury,CA,45.6169,-61.3485,65.59,96,75,1.99,broken clouds
192,Mount Isa,AU,-20.7333,139.5,62.37,27,4,0.0,clear sky
193,Suifenhe,CN,44.4,131.1667,84.81,55,94,9.8,overcast clouds
194,Kijang,KR,35.2442,129.2139,89.33,70,0,9.57,clear sky
195,Avera,US,33.194,-82.5271,75.07,84,22,3.87,few clouds
196,Wah,PK,33.798,72.6957,103.73,33,43,7.18,scattered clouds
197,Georgetown,MY,5.4112,100.3354,90.9,67,40,6.91,scattered clouds
198,Oussouye,SN,12.485,-16.5469,80.82,72,33,6.33,scattered clouds
199,Rafai,CF,4.95,23.9167,72.57,90,100,0.65,overcast clouds
200,Cortland,US,42.6001,-76.083,65.01,91,1,0.0,mist
201,Namibe,AO,-15.1961,12.1522,81.52,38,0,3.31,clear sky
202,Hirschaid,DE,49.8194,10.9908,77.88,65,84,3.98,broken clouds
203,Kyren,RU,51.6828,102.1408,78.76,49,28,3.47,scattered clouds
204,Arman,RU,59.7,150.1667,54.18,99,100,4.12,light rain
205,Meulaboh,ID,4.1363,96.1285,85.3,66,99,6.15,overcast clouds
206,Corowa,AU,-36.0333,146.3833,53.92,87,100,6.8,overcast clouds
207,Erzin,TR,36.9559,36.2,92.12,44,0,9.1,clear sky
208,Cabo San Lucas,MX,22.8909,-109.9124,82.62,68,7,10.74,clear sky
209,Nemuro,JP,43.3236,145.575,70.23,98,79,11.16,broken clouds
210,San Ramon,US,37.7799,-121.978,65.59,78,1,5.99,clear sky
211,Leningradskiy,RU,69.3833,178.4167,37.78,87,100,1.79,overcast clouds
212,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.03,85,67,9.64,broken clouds
213,Namatanai,PG,-3.6667,152.4333,78.8,81,58,2.24,moderate rain
214,Kamaishi,JP,39.2667,141.8833,81.55,84,82,13.98,broken clouds
215,Slave Lake,CA,55.2834,-114.769,54.9,70,96,3.65,overcast clouds
216,Chengde,CN,40.9725,117.9361,80.53,80,94,6.6,overcast clouds
217,Clyde River,CA,70.4692,-68.5914,35.83,93,90,0.0,overcast clouds
218,Lake Havasu City,US,34.4839,-114.3224,84.81,61,1,4.0,clear sky
219,Santa Maria,BR,-29.6842,-53.8069,67.3,77,75,4.61,thunderstorm
220,Jumla,NP,29.2747,82.1838,70.56,89,100,3.8,overcast clouds
221,Oswego,US,43.4501,-76.1497,68.59,96,5,1.01,clear sky
222,Barrow,US,71.2906,-156.7887,37.42,99,90,8.05,fog
223,Tilichiki,RU,60.4667,166.1,52.3,99,100,4.36,light rain
224,Isangel,VU,-19.55,169.2667,73.98,74,91,15.99,overcast clouds
225,Pemangkat,ID,1.1667,108.9667,84.79,74,6,12.48,clear sky
226,San Cristobal,VE,7.7669,-72.225,63.5,97,96,1.19,overcast clouds
227,Portel,BR,-1.9356,-50.8211,70.59,84,25,2.98,scattered clouds
228,Kursumlija,RS,43.1458,21.2686,86.05,30,34,4.54,scattered clouds
229,Ostrovnoy,RU,68.0531,39.5131,48.33,83,96,24.81,overcast clouds
230,Dmitriyevka,RU,54.75,55.3333,70.48,27,42,6.89,scattered clouds
231,Pinega,RU,64.7001,43.3936,58.35,49,74,11.65,broken clouds
232,Gorontalo,ID,0.5412,123.0595,82.29,75,84,6.06,broken clouds
233,Chuzhou,CN,32.3219,118.2978,77.59,96,100,16.75,moderate rain
234,Tateyama,JP,34.9833,139.8667,84.02,64,100,10.8,overcast clouds
235,Kahului,US,20.8947,-156.47,78.06,87,40,18.41,scattered clouds
236,Grigoropolisskaya,RU,45.2972,41.0567,90.88,28,4,21.99,clear sky
237,Ettlingen,DE,48.9409,8.4076,78.26,67,16,4.14,few clouds
238,Codrington,AU,-38.2667,141.9667,54.05,86,100,16.35,overcast clouds
239,Guadalupe,MX,25.6833,-100.25,76.21,83,1,0.0,clear sky
240,Ushtobe,KZ,45.2514,77.9838,106.83,9,1,13.78,clear sky
241,Caceres,ES,39.522,-6.3748,75.79,48,2,6.67,clear sky
242,Mackay,AU,-21.15,149.2,62.04,59,9,8.16,clear sky
