City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Tangshan,CN,86.77,broken clouds,39.6333,118.1833,Civil Affairs Hotel
282,Magaria,NE,81.52,overcast clouds,12.9983,8.9099,Chez Honorable Chapiou
285,Zatoka,UA,86.54,clear sky,46.0725,30.4654,"База отдыха ""Солнечная"""
288,Andros Town,BS,80.56,broken clouds,24.7,-77.7667,Hanks place
294,Mizdah,LY,86.05,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
296,Almaznyy,RU,87.94,broken clouds,48.0448,40.045,
302,Jiangyou,CN,86.45,moderate rain,31.7667,104.7167,Shangping Shuyuan Inn
309,Mahibadhoo,MV,81.25,overcast clouds,3.7833,72.9667,Omadhoo Inn
313,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
314,Svetlogorsk,BY,80.47,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
317,Ust-Maya,RU,75.54,clear sky,60.4167,134.5333,
318,Sijunjung,ID,88.14,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
320,Aflao,TG,79.29,scattered clouds,6.116,1.1914,Hotel LeBenin
321,Manavalakurichi,IN,84.29,broken clouds,8.1333,77.3,Udaya Boys Hostel
324,Tongliao,CN,86.59,overcast clouds,43.6125,122.2653,Meirujia Hotel
332,Dingle,PH,83.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
334,Guane,CU,75.78,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
337,Virginia Beach,US,78.87,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
339,Tandalti,SD,78.53,overcast clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
342,Yima,CN,86.74,light rain,34.7381,111.8839,Yima Hotel
344,San Patricio,US,82.26,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
346,Dharchula,IN,78.76,overcast clouds,29.85,80.5333,Mahara Hotel
349,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
352,Zima,RU,81.81,overcast clouds,53.9202,102.0442,
355,Damavand,IR,88.56,clear sky,35.7178,52.065,آپارتمان زمانیان
360,Zboriste,BA,79.18,broken clouds,45.1458,16.0178,"Kod Jaske, bez Jaske"
361,Tukums,LV,81.75,clear sky,56.9669,23.1553,Tukuma Ledus Halle
365,Benguela,AO,77.43,clear sky,-12.5763,13.4055,Hotel Praia Morena
370,Russell,US,76.23,mist,32.3502,-85.1999,Macs
371,Maningrida,AU,76.89,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
375,Ambilobe,MG,89.08,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
378,Okinawa,JP,85.19,overcast clouds,26.3358,127.8014,Okinawa-shi Guesthouse Peace
382,Mayo,US,77.22,clear sky,38.8876,-76.5119,Resorts Resource Group International
386,Barcelona,ES,82.56,few clouds,41.3888,2.159,Axel Hotel Barcelona
389,Miri,MY,86.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
390,Tarakan,ID,85.5,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
393,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
394,Fare,PF,78.12,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
395,Bandarbeyla,SO,89.13,few clouds,9.4942,50.8122,JABIR HOTEL
397,Uzunovo,RU,75.58,clear sky,54.5386,38.6173,
399,Pangai,TO,76.82,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
403,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
404,Payo,ID,88.74,clear sky,-3.7508,103.6372,Mess keban agung
405,Providencia,MX,84.25,clear sky,28.7167,-111.5833,
410,Kota Belud,MY,89.46,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
411,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
412,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
414,Balykshi,KZ,87.8,clear sky,47.0667,51.8667,Гостиница Golden Rose
415,Monrovia,LR,77.36,overcast clouds,6.3005,-10.7969,Sunset Inn
421,Tiznit,MA,77.4,clear sky,29.5833,-9.5,
423,Chernyshevskiy,RU,86.58,clear sky,63.0128,112.4714,Chernyseyskiy
425,Saint Austell,GB,75.02,mist,50.3383,-4.7658,The Cornwall Hotel & Spa
426,Karpathos,GR,82.36,few clouds,35.507,27.2132,Alex
428,Adre,TD,77.67,overcast clouds,13.4667,22.2,
429,Shitkino,RU,86.13,overcast clouds,56.3703,98.3543,
430,Yenagoa,NG,80.17,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
432,Bratsk,RU,84.69,few clouds,56.1325,101.6142,"Gostinitsa ""Shvedka"""
433,Cockburn Town,TC,81.91,few clouds,21.4612,-71.1419,Osprey Beach Hotel
440,Vanavara,RU,88.59,scattered clouds,60.34,102.2797,
442,Novikovo,RU,80.8,clear sky,51.1537,37.8879,
443,Paonta Sahib,IN,82.51,overcast clouds,30.45,77.6167,OYO 37501 The Brighton Hotel
444,Worland,US,80.6,clear sky,44.0169,-107.9554,Town House Motor Inn
448,Tambura,SS,77.92,overcast clouds,5.6,27.4667,Rikito Lodge
450,Zonalnaya Stantsiya,RU,80.71,light rain,56.4269,85.0221,Hotel Lider
452,Jega,NG,80.65,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
454,Alindao,CF,80.35,light rain,5.0267,21.2088,OCHA Alindao
456,Krasnyy,RU,78.33,scattered clouds,54.5678,31.4333,
461,Isabela,PH,84.9,overcast clouds,6.7085,121.9711,Isawad Resort
462,Mantua,IT,84.34,few clouds,45.1667,10.7833,Hotel la Favorita
464,Vandra,EE,82.18,few clouds,58.6481,25.0361,Five Stars Service OÜ
467,Laguna,US,82.2,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
469,Luancheng,CN,89.76,overcast clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
472,Kutum,SD,79.54,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
473,Male,MV,80.13,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
